epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.2758,0.73207,0.74359,1,0.58709,0.00035725,0.00035725,0.00035725
2,10.7597,0.36835,0.76923,1,0.58177,0.00071436,0.00071436,0.00071436
3,14.1071,0.28131,0.79487,1,0.59273,0.00105676,0.00105676,0.00105676
4,17.4023,0.26837,0.87179,1,0.19965,0.00134412,0.00134412,0.00134412
5,20.6414,0.2109,0.89744,1,0.36736,0.00131582,0.00131582,0.00131582
6,23.9095,0.27432,0.84615,1,0.3704,0.00128753,0.00128753,0.00128753
7,27.1492,0.22869,0.94872,1,0.10675,0.00125923,0.00125923,0.00125923
8,30.4108,0.20747,0.84615,1,0.51987,0.00123094,0.00123094,0.00123094
9,33.648,0.21442,0.87179,1,0.36938,0.00120265,0.00120265,0.00120265
10,36.9134,0.18422,0.89744,1,0.19095,0.00117435,0.00117435,0.00117435
11,40.0976,0.15589,0.94872,1,0.18235,0.00114606,0.00114606,0.00114606
12,43.3591,0.14267,0.97436,1,0.08645,0.00111776,0.00111776,0.00111776
13,46.587,0.16105,0.94872,1,0.38753,0.00108947,0.00108947,0.00108947
14,49.9111,0.10928,0.94872,1,0.08731,0.00106118,0.00106118,0.00106118
15,53.15,0.132,0.97436,1,0.05014,0.00103288,0.00103288,0.00103288
16,56.445,0.15239,0.97436,1,0.09088,0.00100459,0.00100459,0.00100459
17,59.9319,0.13014,1,1,0.08062,0.000976293,0.000976293,0.000976293
18,63.21,0.12181,0.97436,1,0.06831,0.000947999,0.000947999,0.000947999
19,66.4466,0.14284,0.97436,1,0.18903,0.000919704,0.000919704,0.000919704
20,69.7031,0.10223,1,1,0.02314,0.00089141,0.00089141,0.00089141
21,72.9256,0.10487,0.97436,1,0.05245,0.000863116,0.000863116,0.000863116
22,76.1916,0.06382,1,1,0.02373,0.000834822,0.000834822,0.000834822
23,79.4302,0.12685,0.94872,1,0.06945,0.000806528,0.000806528,0.000806528
24,82.7338,0.09112,0.89744,1,0.12642,0.000778233,0.000778233,0.000778233
25,85.965,0.08838,0.94872,1,0.11198,0.000749939,0.000749939,0.000749939
26,89.2274,0.08667,0.94872,1,0.09352,0.000721645,0.000721645,0.000721645
27,92.446,0.06531,0.97436,1,0.11166,0.000693351,0.000693351,0.000693351
